_id,Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Playoffs,Coaches,Top WS,teamId
ObjectId("5e8d4f4b9be312a2b401cc15"),2005-06,NBA,Boston Celtics,33,49,0.402,3rd of 5,-1.59,92.2,1.7,105.2,-1,106.9,0.7,,D. Rivers (33-49),P. Pierce (11.5),2
ObjectId("5e8d4f4b9be312a2b401cc16"),2004-05,NBA,Boston Celtics*,45,37,0.549,1st of 5,0.35,93.3,2.4,107.5,1.4,106.6,0.5,Lost E. Conf. 1st Rnd.,D. Rivers (45-37),P. Pierce (11.2),2
ObjectId("5e8d4f4b9be312a2b401cc17"),2002-03,NBA,Boston Celtics*,44,38,0.537,3rd of 7,-0.75,90.9,-0.1,101.2,-2.4,101.6,-2,Lost E. Conf. Semis,J. O'Brien (44-38),P. Pierce (10.1),2
ObjectId("5e8d4f4b9be312a2b401cc18"),2003-04,NBA,Boston Celtics*,36,46,0.439,4th of 7,-1.99,93.2,3.1,102.1,-0.8,103.7,0.8,Lost E. Conf. 1st Rnd.,J. O'Brien (22-24) J. Carroll (14-22),P. Pierce (7.1),2
ObjectId("5e8d4f4b9be312a2b401cc19"),2001-02,NBA,Boston Celtics*,49,33,0.598,2nd of 7,1.75,92.5,1.8,103.4,-1.1,101,-3.5,Lost E. Conf. Finals,J. O'Brien (49-33),P. Pierce (12.9),2
ObjectId("5e8d4f4b9be312a2b401cc1a"),2000-01,NBA,Boston Celtics,36,46,0.439,5th of 7,-2.4,92.6,1.3,101.4,-1.6,103.7,0.7,,R. Pitino (12-22) J. O'Brien (24-24),P. Pierce (10.4),2
ObjectId("5e8d4f4b9be312a2b401cc1b"),1999-00,NBA,Boston Celtics,35,47,0.427,5th of 7,-1,94.6,1.5,104.8,0.7,105.6,1.5,,R. Pitino (35-47),P. Pierce (8.2),2
ObjectId("5e8d4f4b9be312a2b401cc1c"),1997-98,NBA,Boston Celtics,36,46,0.439,6th of 7,-1.96,93.3,3,102.6,-2.4,105.4,0.4,,R. Pitino (36-46),D. Barros (5.6),2
ObjectId("5e8d4f4b9be312a2b401cc1d"),1996-97,NBA,Boston Celtics,15,67,0.183,7th of 7,-6.62,95.8,5.7,103.9,-2.8,111.4,4.7,,M. Carr (15-67),D. Wesley (6.1),2
ObjectId("5e8d4f4b9be312a2b401cc1e"),1995-96,NBA,Boston Celtics,33,49,0.402,5th of 7,-3.37,96.2,4.4,106.4,-1.2,109.9,2.3,,M. Carr (33-49),D. Wesley (6.3),2
ObjectId("5e8d4f4b9be312a2b401cc1f"),1994-95,NBA,Boston Celtics*,35,47,0.427,3rd of 7,-1.92,94,1.1,108.6,0.3,110.6,2.3,Lost E. Conf. 1st Rnd.,C. Ford (35-47),D. Brown (6.8),2
ObjectId("5e8d4f4b9be312a2b401cc20"),2014-15,NBA,Boston Celtics*,40,42,0.488,2nd of 5,-0.4,95.8,1.9,104.7,-0.9,104.5,-1.1,Lost E. Conf. 1st Rnd.,B. Stevens (40-42),T. Zeller (6.5),2
ObjectId("5e8d4f4b9be312a2b401cc21"),1993-94,NBA,Boston Celtics,32,50,0.39,5th of 7,-4.28,95.6,0.5,104.2,-2.1,108.7,2.4,,C. Ford (32-50),D. Brown (6.4),2
ObjectId("5e8d4f4b9be312a2b401cc22"),2012-13,NBA,Boston Celtics*,41,40,0.506,3rd of 5,-0.62,91.7,-0.3,103.1,-2.8,103.3,-2.6,Lost E. Conf. 1st Rnd.,D. Rivers (41-40),P. Pierce (7.2),2
